celltype	int_label	prob
HAP-1	4	0.4180469145790691
HAP-1	9	0.6163633738581489
HAP-1	1	0.41667482179862353
HAP-1	12	0.3476708953605194
HAP-1	10	0.36549551999828744
HAP-1	5	0.2987745839930565
HAP-1	7	0.4061125459683954
HAP-1	8	0.5882128753292298
HAP-1	11	0.4208906477140982
HAP-1	2	0.48916223294797345
HAP-1	3	0.5748364565789708
HAP-1	14	0.5308382309026286
HAP-1	13	0.4153124399231563
HAP-1	6	0.7939432441310531
HAP-1	0	0.25385996577015796
DND-41	4	0.4993331715335828
DND-41	9	0.41345644057298064
DND-41	1	0.7177759130185577
DND-41	12	0.6930215663620052
DND-41	10	0.46187055797821386
DND-41	5	0.43480840151728734
DND-41	7	0.3427186388108164
DND-41	8	0.3625131510917223
DND-41	11	0.579608617031049
DND-41	2	0.3902969656175344
DND-41	3	0.60996866080942
DND-41	14	0.7983494788935498
DND-41	13	0.3800022719223614
DND-41	6	0.505489542917043
DND-41	0	0.8241446895457004
adrenal_gland_embryonic	4	0.5113180042210864
adrenal_gland_embryonic	9	0.7473466487763787
adrenal_gland_embryonic	1	0.809243564986485
adrenal_gland_embryonic	12	0.2400365376123318
adrenal_gland_embryonic	10	0.46798883385137846
adrenal_gland_embryonic	5	0.650568060933348
adrenal_gland_embryonic	7	0.7652606373343522
adrenal_gland_embryonic	8	0.534070013239236
adrenal_gland_embryonic	11	0.47601938512089037
adrenal_gland_embryonic	2	0.456135891236051
adrenal_gland_embryonic	3	0.7649380103924299
adrenal_gland_embryonic	14	0.621717950149064
adrenal_gland_embryonic	13	0.7908282483323521
adrenal_gland_embryonic	6	0.30625515051623275
adrenal_gland_embryonic	0	0.435147959629486
trophoblast_cell	4	0.6322831550601126
trophoblast_cell	9	0.3360474319278891
trophoblast_cell	1	0.7965455009859039
trophoblast_cell	12	0.40578034963637527
trophoblast_cell	10	0.33178510973867903
trophoblast_cell	5	0.8117435649864849
trophoblast_cell	7	0.3330520281441117
trophoblast_cell	15	0.6091219952678611
trophoblast_cell	8	0.590604236747417
trophoblast_cell	11	0.3163714204603072
trophoblast_cell	2	0.23572124746488954
trophoblast_cell	3	0.46426965039830825
trophoblast_cell	14	0.6494814251769945
trophoblast_cell	13	0.33803943436308587
trophoblast_cell	6	0.507290756172323
trophoblast_cell	0	0.5160475131898435
