orig_label	(09) initial exon	(01) H3K9me3	(10) initial intron	(02) H3K27me3	(11) internal exons	(04) H3K4me3	(16) 3' flanking (1000-10000 bp)	(12) internal introns	(03) H3K36me3	(13) terminal exon	(06) H3K4me1	(14) terminal intron	(07) 5' flanking (1000-10000 bp)	(05) H3K27ac	(15) 3' flanking (1-1000 bp)	(08) 5' flanking (1-1000 bp)
4	0.39328297486846614	0.48363109793080944	1.0928912775248716	0.3993134415340644	-0.5408494777821183	0.5706227685434941	0.4079275194434918	-0.6161058119528964	0.5352349578572764	0.1591066131630635	1.2915085595774893	0.1592764497037292	0.7130726006792443	0.9342437491941338	0.2573849889148543	0.6865608948292675
8	0.6975145521849844	0.4496587795577028	0.39198240223660435	0.7897846354622249	0.6630889840274261	0.5272266543784881	0.6336157134582808	0.5153546810360207	0.3035410207401655	0.6146578155392263	0.45500907889192554	0.6038812990699416	0.5294885061555847	0.49859012605181047	0.4940530658734157	0.633005527850802
1	-0.36303765296752394	0.4669299172477995	-0.3382132105354796	0.29774446344167865	-1.0438243757111416	0.40495576171216174	0.020315735585551522	-0.7733522439357337	0.21577273930270174	-0.42939051805527156	0.1929441237320951	-0.3886404268133878	-0.015758787092113532	0.2962990183060096	-0.1758797952742562	-0.27108182659263413
12	0.3123882006596315	0.5060215734488549	0.32986948928874676	1.4856363076704182	0.14799456333922756	0.6253779812286797	0.19128356355825826	-0.050116591079996324	0.2771399418105086	0.3097238174266498	0.32315758600391603	0.21495587696478421	0.32856258913071473	0.4745759147305424	0.16237166978359113	0.22741452293332814
10	-0.7448577197720369	0.7202354444020915	-0.7814507598870775	1.025483867459525	-0.8427967840646039	0.8415073664869466	-0.39714718946211847	-0.959528148479223	0.2659644216919533	-0.45608099875006103	0.2616711561577197	-0.7462416133672243	-0.36319770191273276	0.3990802294100855	-0.45833758425986887	-0.6768864508515984
5	-1.4621014900803082	0.690677942260874	-1.3958564264566815	0.448714786618182	-1.6960329564504084	0.8414262925053113	-0.8324944541917269	-1.6920446383122947	0.23421717091204775	-1.0968514044883926	0.223361575474822	-1.3348146934239753	-0.8913159799076917	0.33354242917993804	-0.8684084464908254	-1.1842920972920055
3	-0.0790637231603005	0.4065886683850187	0.049091650345468994	0.8444130010762587	-0.16609678364403127	0.46848872841475375	0.1586821549331564	-0.15014623137618238	0.20773444419437737	0.05585249207216743	0.23089165592743052	0.04236183189484501	0.2260390923054298	0.35861838953986375	0.09326976158160327	-0.0253169500831269
9	-0.2104120742915904	1.412709827663309	-0.8386124197503649	0.4250248907263515	-1.930412107359487	0.6538174341380372	-0.4156639020337847	-1.9785659810258687	0.45712617550960694	-0.35502376315802464	0.2735476168109898	-0.9936435141413004	-0.4975595671262401	0.4329365395359107	-0.6027940742900326	-0.3927161835431771
11	0.40098525004699276	0.4704973928497066	0.9407591700916198	0.26395626822291	2.6140557648253075	0.6063158499719272	1.0626761607283826	2.468465260703885	2.258179898877612	1.6423986120035738	1.2395197717825857	1.8767849392258549	1.2112028892781521	1.1177898483945568	1.2903827415697733	0.21605735286355088
2	2.0400978371747756	0.3628552469559808	1.4623057469284129	0.6060931009877545	1.2759189499886363	0.5676968459914131	1.254325939665287	1.1756234374189887	0.6362770183615303	1.486990598401527	1.6872491176850408	1.5640236609025144	1.1802841572712346	1.0647347664823235	1.5109460927445315	1.9555272726721686
7	5.14467846089905	0.42685597114865975	4.188596614252845	0.4138018791310894	1.3319452712055126	2.6777099553729156	1.4053517952288592	0.20459343503748564	0.9604519631933592	1.7005279248435266	1.2623554538941655	1.513599644341029	1.2580101086000812	2.7160212387003093	1.4179043767675301	4.4164439277579115
14	-0.7752006868496983	0.04832138437806606	-0.7857423650731902	0.02815388341278266	-1.4155820472950886	0.033482335918805006	-0.6231025802865	-1.2734248997617776	0.021063574484110694	-0.9046502724760371	0.015076677460338207	-0.809440593627341	-0.6449998975581186	0.02092007679814441	-0.7518848440894983	-0.7730025716027674
13	1.3735911026330043	0.4515367341087014	2.203678776913748	0.367264552329102	0.5915171415236602	0.8380406494863594	0.8401982573763762	0.30247913868253223	0.7733027312020102	0.9583226219864183	2.895724156787054	0.9877453818799328	0.9981532832857997	2.032184045671111	0.9150071720389006	2.267306822179794
6	-0.2954633486913371	0.4495172682404485	0.018012033720706876	0.25746495655233664	0.5810428264644518	0.5724451983163373	0.4409116462797597	0.872432517513018	1.0376864393654852	0.5190999896134306	0.38083738388023575	0.4963155939908484	0.13996707832108923	0.6251332457444576	0.6524339304050972	-0.3312747106319417
0	-0.09412388568807961	0.49597791955183856	-0.5781943395359449	0.24964041793026928	2.446499627864401	0.6045617124581989	0.5881575312645619	2.405454282545943	2.037365608309066	1.3649115234637101	0.3740692426199956	1.7173494069307358	0.30668737051243566	0.6817417619935627	1.0713387091337454	-0.17823543107782977
