time	mem	disk	cpu_pct
1615430885	0	6880388435	0.00
1615430905	0	7068585909	0.00
1615430925	0	7090015651	0.00
1615430945	0	7105515971	0.00
1615430966	0	7014189400	0.00
1615430986	0	7014808078	0.00
1615431006	0	7015563597	0.00
1615431026	0	7016356903	0.00
1615431046	0	7016890110	0.00
1615431066	0	7017674796	0.00
1615431086	0	7018465669	0.00
1615431106	0	7019189468	0.00
1615431126	0	7019935910	0.00
1615431146	0	7020736964	0.00
1615431166	0	7020167226	0.00
1615431186	0	7022273735	0.00
1615431207	0	7023125014	0.00
1615431227	0	7022667022	0.00
1615431247	0	7024662312	0.00
1615431267	0	7025534485	0.00
1615431287	0	7025138955	0.00
1615431307	0	7027148206	0.00
1615431327	0	7028007373	0.00
1615431347	0	7027533889	0.00
1615431367	0	7029487169	0.00
1615431387	0	7030295226	0.00
1615431407	0	7029789658	0.00
1615431427	0	7031763073	0.00
1615431448	0	7032477889	0.00
1615431468	0	7032015785	0.00
1615431488	0	7033979680	0.00
1615431508	0	7034541657	0.00
1615431528	0	7035338785	0.00
1615431548	0	7036064709	0.00
1615431568	0	7036891108	0.00
1615431588	0	7037762775	0.00
1615431608	0	7038510731	0.00
1615431628	0	7039379311	0.00
1615431648	0	7040250352	0.00
1615431668	0	7040991840	0.00
1615431688	0	7041852836	0.00
1615431709	0	7042710036	0.00
1615431729	0	7043398356	0.00
1615431749	0	7044159348	0.00
1615431769	0	7044952582	0.00
1615431789	0	7045641520	0.00
1615431809	0	7046440756	0.00
1615431829	0	7047245527	0.00
1615431849	0	7047890256	0.00
1615431869	0	7048669886	0.00
1615431889	0	7049486046	0.00
1615431909	0	7050168366	0.00
1615431929	0	7050942852	0.00
1615431950	0	7051765612	0.00
1615431970	0	7051197929	0.00
1615431990	0	7053161200	0.00
1615432010	0	7054031652	0.00
1615432030	0	7053493175	0.00
1615432050	0	7055592783	0.00
1615432070	0	7056452122	0.00
1615432090	0	7056043129	0.00
1615432110	0	7058061794	0.00
1615432130	0	7058917696	0.00
1615432150	0	7058383812	0.00
1615432170	0	7060261624	0.00
1615432190	0	7060891064	0.00
1615432211	0	7060359856	0.00
1615432231	0	7062325044	0.00
1615432251	0	7063111889	0.00
