orig_label	(09) initial exon	(01) H3K9me3	(10) initial intron	(02) H3K27me3	(11) internal exons	(04) H3K4me3	(16) 3' flanking (1000-10000 bp)	(12) internal introns	(03) H3K36me3	(13) terminal exon	(06) H3K4me1	(14) terminal intron	(07) 5' flanking (1000-10000 bp)	(05) H3K27ac	(15) 3' flanking (1-1000 bp)	(08) 5' flanking (1-1000 bp)
4	-0.4388199415606938	0.5332302771098167	-0.2597032247998024	0.8743298895889077	-0.9577279304100054	0.4969672660981429	-0.03932493447486653	-0.9416447772318004	0.13408306762660221	-0.12766538129455338	0.2901209840828074	-0.3190102940579147	0.10151717596163784	0.4928469568248123	-0.14430313356900212	-0.2264678935018801
8	-0.6740443351591208	0.4547918163967188	-0.2564010798627515	0.4343003415709985	0.005796633295795892	0.40464857267174986	0.15886987713819178	0.1572956313290699	0.2208767668050737	-0.05357009895556572	0.2130215772366466	-0.03196862709808988	0.16376977849289034	0.3729113195158301	0.1629036468522546	-0.33522273748460635
1	-1.591795703901405	0.23147156066540883	-1.0333425196250583	0.2618956884631311	-0.8457098586370642	0.2024466911369074	-0.4723884431203926	-0.673834463912162	0.03119321662973648	-0.8723023425874545	0.03599903253478821	-0.9044409315021431	-0.46276254803721845	0.1958281048723494	-0.43378879159060346	-0.95755104838043
12	-0.3372984354645251	0.4041492792666167	0.1914981656937529	0.5596181389269668	-0.7879112938444613	0.41984059904522053	-0.06156732377590965	-0.8200747971569684	0.15829697043860266	-0.24059674062495082	0.5682118921319627	-0.4055293479138533	0.05985969893095423	0.6584348400542754	-0.16294736858232842	0.132517652578528
10	3.8403622190076074	0.67404519369538	2.456087450520375	0.5640522863701176	0.4954368549307027	1.2463953296866086	0.7953009519722555	-0.05794141767611137	0.3945027256811996	1.072865821238285	1.167338777846064	0.9857909669480119	0.6983563807548754	1.712158970590642	0.8614725100758805	2.952833933803033
5	-1.4857427190239456	0.03387906150975561	-1.1962452841042044	0.03576936719750241	-1.6397165922136185	0.02759868077880189	-0.8131487907898416	-1.4627385507511712	0.006321835037294225	-1.2924027358738612	0.006304748037629133	-1.1567018607659445	-0.8487716452378781	0.024827487104357292	-1.0023904612955445	-1.2255355838052273
7	0.5229072940393841	0.48086135292725296	0.7890508174919499	0.5382583375344114	-0.6466983381115737	0.5342881354876756	0.20451630442551585	-0.822340616977995	0.27025832017334184	0.13871351032486223	1.194755083655851	0.03403401034057336	0.3589022346994737	1.6144228841726813	0.13579739521540293	1.077163355056701
15	-1.1618884336727984	0.2785584636565733	-0.745004779476313	0.5866697166004136	-1.142403488146402	0.262441779607702	-0.3868301507070957	-1.02149992674606	0.041473652159584845	-0.6689956352418628	0.09862091251751474	-0.8065197301370989	-0.3172186800548874	0.4104108117387795	-0.40554095313106475	-0.7271099356303571
9	4.585830818285332	0.586674540741444	2.3209377537264677	0.45559570844077474	0.15074959698100604	1.1788557035024587	0.9275349235694341	-0.4673926500387444	0.3088653079870535	1.1592289619804077	0.986559336633506	0.7203300599946441	0.7437000410836616	1.9263105162054543	1.0444671123963294	3.449202246742225
11	0.20493855489873028	0.8657404078737944	0.16846655903785135	0.7222441061986453	-0.1641143266746231	0.7574540741790206	0.3233593850806745	-0.19967025504688238	0.3913471574609122	0.36106655730189735	0.3910693520569035	0.18030109130698918	0.30841535723577335	0.5010306952870708	0.19660220219527713	0.01863723434993409
2	1.2150188461050728	1.422575306725516	0.7590884983630312	0.933885376938528	0.9710139711164296	1.0978833979573186	0.5711716696351145	0.6256799970767158	0.6605650838716656	1.1423785991188717	0.4811090227709659	0.8085961120384247	0.4896083747489174	0.582132374867003	0.5573720028393343	0.6481812691826622
3	0.5629711235565305	0.7992602256197431	0.7801408040499974	0.7393593657267337	-0.07775326537247639	0.7820337247902392	0.3370422776022897	-0.30725581950327907	0.46612910947187264	0.35006678887185244	0.9052127733418469	0.24097143831255466	0.3731281717572055	0.6401053671451535	0.16342840703133232	0.6723341384247451
14	-0.1590096239875572	0.5925368736118788	0.12729449279016375	0.5322462101696008	1.5255588233208899	0.5455008846399422	0.659999449553929	1.7713155242948786	0.9399988110700978	0.9272636508697565	0.35170347868002505	1.2585051610380769	0.4781408620157091	0.5080702322184066	0.9784574010231729	-0.16894790941204757
13	0.5685162544165222	0.956718392700068	0.9929370554189366	0.6492241886340586	1.8425335417080861	0.9010286300320041	0.8355115878035098	1.678911271793416	1.4236683465513078	1.394956486296947	1.01898968905584	1.4108941486688693	0.6727785045750178	0.7970302497988982	1.1528562091884451	0.3544507734251567
6	0.4345581983980898	0.9686483887183724	0.007169292826698861	0.609327617616611	3.1732274311651985	0.8770873905913881	1.1500204672717087	3.09176242478418	2.1980827759880195	1.9760201792289542	0.5284600448082888	2.468650056769306	0.9449913947866797	0.6531172077414467	1.5251368978984057	0.20550906088283857
0	2.3817285996548336	0.9445884637845037	2.3166919503278756	0.8314727232434055	0.8134011947678139	1.1053549407521024	0.8081612941398563	0.34955814050226947	0.6587502798351608	0.9789922535613723	1.6183605598751682	1.1219928559065693	0.7683763126711789	1.05132351437899	0.6792088329355616	2.1877883742014643
