label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
4	0.025772959603276822	0.0900613682852409	0.002202797202797203	0.6322831550601126	0.005838319088319088	0.16681172313312195	0.05077539725192186	0.007234827264239029	0.019019453110970683
8	0.002463054187192118	0.10621752917595761	0.008135626027301633	0.14192845521444025	0.003	0.590604236747417	0.07395962543327865	0.02845059976797658	0.045240873446436104
1	0.0	0.09206615433414546	0.0	0.06942134850802316	0.0	0.7965455009859039	0.0039274745572699535	0.007620576008265387	0.030418945606391804
12	0.01575828137889849	0.10412697503852249	0.014881174539678375	0.21608313715441116	0.014854500338371306	0.40578034963637527	0.14433203656132532	0.028668486119144014	0.055515059233273385
10	0.10065296302803124	0.0215929005205321	0.11385146368721685	0.040783069222974574	0.33178510973867903	0.012260068595807133	0.32685136350670485	0.009064824512405157	0.04315823718764895
5	0.0	0.10134848722338372	0.0	0.039592057119692846	0.0	0.8117435649864849	0.003492691948574301	0.00595390934159872	0.03786928938026499
7	0.030923864418623402	0.08113947535482899	0.11908162837041085	0.09800592333954365	0.04650304305065072	0.1667899023202386	0.3330520281441117	0.013174100615118414	0.11133003438647361
15	0.002261904761904762	0.09960605094436353	0.004	0.21621544408514923	0.0	0.6091219952678611	0.025655759273406336	0.009981672932330828	0.033157172734984044
9	0.12437340040064253	0.031205933101985734	0.11549219795295113	0.03561486944665124	0.3360474319278891	0.031786384385280815	0.26472314330754637	0.008652486850067496	0.05210415262698545
11	0.01959170519000566	0.1642692044960199	0.08887986921301458	0.3163714204603072	0.03053919368450006	0.11497793667773658	0.19982282578443453	0.017573256304156137	0.04797458818982517
2	0.10163096194758016	0.07610111330917516	0.08018646520910382	0.23572124746488954	0.04237376600854862	0.026965592234206037	0.23191352702168316	0.1290522278905513	0.07605509891426233
3	0.025927406297375773	0.039727876878220346	0.20244032756209174	0.13295878132422806	0.015909840180642277	0.03829390798210014	0.46426965039830825	0.0056368083762894415	0.07483540100074376
14	0.005047619047619047	0.06558390208645219	0.010055361305361306	0.018442668797528136	0.006898684648684647	0.04655576547711366	0.04336796890286593	0.6494814251769945	0.15456660455738055
13	0.011863297448975199	0.01592690246629875	0.08568832583700331	0.011274744983258915	0.03554136007611239	0.008026315789473685	0.2645238394164869	0.33803943436308587	0.22911577961930493
6	0.02506988112295018	0.03901327001303709	0.048360267183796594	0.036339200995083344	0.021750358677980162	0.027044753767804738	0.1386712850001785	0.507290756172323	0.15646022706684634
0	0.071987917385905	0.017500864827326598	0.17785855262104908	0.02813911760118853	0.13637526195443908	0.0	0.5160475131898435	0.01099699728376199	0.041093775136486134
